2786826417,2017/10/05,1,844,4003612003,4.94
7629859674,2017/04/22,3,43,9443664078,59.88
5175423530,2017/08/06,0,81,6395483368,3.47
5878986539,2017/06/13,3,375,2663978410,4.3
3715138118,2017/06/02,0,281,7734975684,2.5
6607935684,2017/07/09,1,212,9526077645,1.44
5578464147,2017/07/05,1,222,8673661880,1.7
9478025895,2017/08/02,3,517,2828582027,98.4
6816435610,2017/10/24,1,206,7754653150,43.04
8763537779,2017/10/06,3,799,5338049797,9.52
9733503290,2017/06/08,2,303,5029656978,2.96
3195628829,2017/05/13,0,117,8716319418,35.888
9146618289,2017/07/14,3,248,3677738244,5.3456

